author,commits,insertions,deletions,files_changed,first_commit,last_commit,total_lines
David Bau,1,3,0,1,2018-03-10 06:36:05,2018-03-10 06:36:05,3
Ford Hurley,1,1,1,1,2014-02-06 05:13:51,2014-02-06 05:13:51,2
Firat Ozdemir,1,1,1,1,2024-02-06 07:07:11,2024-02-06 07:07:11,2
Edward Betts,1,4,1,1,2018-02-26 19:06:44,2018-02-26 19:06:44,5
Elan Ruusamäe,1,1,0,1,2024-05-03 06:04:44,2024-05-03 06:04:44,1
Dyno Fu,1,5,5,2,2018-04-30 06:55:35,2018-04-30 06:55:35,10
David W.H. Swenson,1,2,1,1,2019-08-25 06:49:13,2019-08-25 06:49:13,3
David Anes,1,20,18,1,2020-05-03 05:55:44,2020-05-03 05:55:44,38
Daniel Ecer,1,429,0,4,2021-04-06 06:45:31,2021-04-06 06:45:31,429
Arun Persaud,1,1,1,1,2016-07-18 02:15:10,2016-07-18 02:15:10,2
Carlin MacKenzie,1,1,1,1,2020-02-16 21:48:42,2020-02-16 21:48:42,2
Andrey Portnoy,1,1,1,1,2018-09-11 02:14:41,2018-09-11 02:14:41,2
Cheng Chen,1,1,1,1,2019-08-09 00:28:47,2019-08-09 00:28:47,2
Anurag Pandey,1,1,1,1,2019-12-01 05:03:08,2019-12-01 05:03:08,2
Al Johri,1,2,5,1,2020-07-17 04:12:29,2020-07-17 04:12:29,7
Adnan Umer,1,15,3,1,2017-09-10 03:27:42,2017-09-10 03:27:42,18
Andres Torres,1,12,4,1,2020-09-08 02:17:52,2020-09-08 02:17:52,16
Luca Cappelletti,1,1,1,1,2021-06-16 05:36:38,2021-06-16 05:36:38,2
Lev Velykoivanenko,1,2,0,1,2018-10-15 05:39:38,2018-10-15 05:39:38,2
Leonardo Taccari,1,1,1,1,2020-06-03 17:40:32,2020-06-03 17:40:32,2
Leo Singer,1,2,1,1,2020-06-29 03:18:01,2020-06-29 03:18:01,3
